前期,threshold,FPR,TPR,,中期,threshold,FPR,TPR,,後期,threshold,FPR,TPR
,0,1,1,,,0,1,1,,,0,1,1
,0.025,0.032,0.201,,,0.025,0.098,0.41,,,0.025,0.055,0.2
,0.05,0.032,0.201,,,0.05,0.098,0.41,,,0.05,0.055,0.2
,0.075,0.032,0.201,,,0.075,0.097,0.41,,,0.075,0.055,0.2
,0.1,0.031,0.197,,,0.1,0.096,0.4,,,0.1,0.053,0.19
,0.125,0.03,0.195,,,0.125,0.094,0.398,,,0.125,0.053,0.19
,0.15,0.03,0.188,,,0.15,0.09,0.389,,,0.15,0.05,0.18
,0.175,0.028,0.179,,,0.175,0.087,0.372,,,0.175,0.048,0.18
,0.2,0.027,0.179,,,0.2,0.083,0.358,,,0.2,0.046,0.17
,0.225,0.026,0.177,,,0.225,0.082,0.352,,,0.225,0.045,0.17
,0.25,0.026,0.177,,,0.25,0.081,0.35,,,0.25,0.045,0.17
,0.275,0.025,0.171,,,0.275,0.079,0.341,,,0.275,0.042,0.17
,0.3,0.024,0.166,,,0.3,0.077,0.332,,,0.3,0.04,0.16
,0.325,0.008,0.066,,,0.325,0.031,0.154,,,0.325,0.014,0.047
,0.35,0.005,0.046,,,0.35,0.024,0.137,,,0.35,0.009,0.032
,0.375,0.005,0.042,,,0.375,0.023,0.133,,,0.375,0.008,0.032
,0.4,0.005,0.042,,,0.4,0.02,0.127,,,0.4,0.008,0.032
,0.425,0.004,0.037,,,0.425,0.017,0.11,,,0.425,0.007,0.025
,0.45,0.003,0.031,,,0.45,0.015,0.102,,,0.45,0.006,0.02
,0.475,0.003,0.028,,,0.475,0.014,0.094,,,0.475,0.006,0.02
,0.5,0.003,0.028,,,0.5,0.013,0.083,,,0.5,0.005,0.018
,0.525,0.002,0.024,,,0.525,0.011,0.067,,,0.525,0.004,0.016
,0.55,0.002,0.022,,,0.55,0.009,0.051,,,0.55,0.003,0.013
,0.575,0.002,0.018,,,0.575,0.008,0.047,,,0.575,0.003,0.013
,0.6,0.002,0.015,,,0.6,0.007,0.04,,,0.6,0.003,0.011
,0.625,0.002,0.013,,,0.625,0.006,0.033,,,0.625,0.003,0.009
,0.65,0.001,0.013,,,0.65,0.006,0.026,,,0.65,0.003,0.009
,0.675,0.0004,0.009,,,0.675,0.003,0.015,,,0.675,0.0006,0.0045
,0.7,0.0004,0.009,,,0.7,0.0025,0.013,,,0.7,0.0006,0.0045
,0.725,0.0004,0.009,,,0.725,0.0019,0.01,,,0.725,0.0005,0.0023
,0.75,0.0003,0.009,,,0.75,0.0014,0.009,,,0.75,0.0004,0.0023
,0.775,0.0002,0.007,,,0.775,0.0008,0.007,,,0.775,0.0002,0
,0.8,0.0002,0.007,,,0.8,0.0007,0.005,,,0.8,0.0002,0
,0.825,0.0001,0.002,,,0.825,0.0006,0.003,,,0.825,0,0
,0.85,0.00006,0.002,,,0.85,0.0004,0.003,,,0.85,0,0
,0.875,0,0,,,0.875,0.0003,0.001,,,0.875,0,0
,0.9,0,0,,,0.9,0.0002,0,,,0.9,0,0
,0.925,0,0,,,0.925,0,0,,,0.925,0,0
,0.95,0,0,,,0.95,0,0,,,0.95,0,0
,0.975,0,0,,,0.975,0,0,,,0.975,0,0
,1,0,0,,,1,0,0,,,1,0,0
